spu_code,product_name,category,size,cogs,avg_list_price,avg_paid_price,cm_dollar,cm_pct,cogs_pct,discount_depth,qty_sold,sales_mix_pct,total_revenue,total_cm,classification,ingredient_count
PR000021,Iced Coconut Latte,beverage_iced,16oz,1.27,6.47,3.28,2.01,61.3,38.7,49.3,70044,12.5,229547,140788.44,Star,5
PR000005,Drip Coffee,beverage_hot,16oz,0.44,3.45,2.46,2.02,82.1,17.9,28.7,40813,7.29,100318,82442.26,Star,3
PR000071,Iced Kyoto Matcha Latte,beverage_iced,16oz,1.92,6.47,3.47,1.55,44.7,55.3,46.4,37263,6.65,129208,57757.65,Plow Horse,5
PR000016,Latte (Hot),beverage_hot,16oz,0.82,5.76,3.26,2.44,74.8,25.2,43.4,28483,5.08,92968,69498.52,Star,4
PR000023,Iced Velvet Latte,beverage_iced,16oz,1.29,6.49,3.52,2.23,63.4,36.6,45.8,25526,4.56,89764,56922.98,Star,6
PR000015,Iced Latte,beverage_iced,16oz,0.67,5.78,3.43,2.76,80.5,19.5,40.7,23546,4.2,80866,64986.96,Star,5
PR000031,Cold Brew,beverage_iced,16oz,1.58,4.96,3.13,1.55,49.5,50.5,36.9,19431,3.47,60863,30118.05,Plow Horse,4
PR000022,Coconut Latte (Hot),beverage_hot,16oz,1.8,6.46,3.3,1.5,45.5,54.5,48.9,18738,3.34,61826,28107.0,Plow Horse,4
PR000073,Iced Kyoto Matcha Coconut Latte,beverage_iced,16oz,2.12,6.78,3.54,1.42,40.1,59.9,47.8,18208,3.25,64433,25855.36,Plow Horse,6
PR000072,Kyoto Matcha Latte (Hot),beverage_hot,16oz,1.43,6.45,3.38,1.95,57.7,42.3,47.6,14892,2.66,50321,29039.4,Star,5
PR000080,Iced Caramel Popcorn Latte,beverage_iced,16oz,1.48,6.79,3.71,2.23,60.1,39.9,45.4,13682,2.44,50807,30510.86,Star,7
PR000063,Sausage Egg Cheese Croissant,food,piece,2.56,5.72,4.98,2.42,48.6,51.4,12.9,11790,2.1,58718,28531.8,Plow Horse,2
PR000018,Cappuccino (Hot),beverage_hot,16oz,0.72,5.75,3.34,2.62,78.4,21.6,41.9,10779,1.92,36040,28240.98,Star,4
PR000024,Velvet Latte (Hot),beverage_hot,16oz,1.42,6.48,3.59,2.17,60.4,39.6,44.6,10714,1.91,38503,23249.38,Star,5
PR000014,Americano (Hot),beverage_hot,16oz,0.57,4.46,2.84,2.27,79.9,20.1,36.3,10612,1.89,30180,24089.24,Star,4
PR000006,Iced Americano,beverage_iced,16oz,0.59,4.47,2.91,2.32,79.7,20.3,34.9,10233,1.83,29828,23740.56,Star,5
PR000033,Pineapple Cold Brew,beverage_iced,16oz,2.14,6.25,3.11,0.97,31.2,68.8,50.2,10027,1.79,31186,9726.19,Plow Horse,6
PR000039,Vital Kale,beverage_iced,bottle,1.65,7.97,3.53,1.88,53.3,46.7,55.7,9865,1.76,34813,18546.2,Star,5
PR000087,Spanish Latte (Hot),beverage_hot,16oz,1.32,6.76,3.47,2.15,62.0,38.0,48.7,8985,1.6,31191,19317.75,Star,6
PR000091,Toffee Hazelnut Latte (Hot),beverage_hot,16oz,1.28,6.96,3.36,2.08,61.9,38.1,51.7,8714,1.56,29279,18125.12,Star,6
PR000043,Mango Coconut Sunrise,beverage_iced,16oz,1.77,6.25,3.09,1.32,42.7,57.3,50.6,8412,1.5,25960,11103.84,Plow Horse,8
PR000074,Kyoto Matcha Coconut Latte (Hot),beverage_hot,20oz,2.42,6.78,3.42,1.0,29.2,70.8,49.6,7860,1.4,26881,7860.0,Plow Horse,4
PR000090,Iced Toffee Hazelnut Latte,beverage_iced,16oz,1.69,6.96,3.39,1.7,50.1,49.9,51.3,7604,1.36,25786,12926.8,Plow Horse,7
PR000027,Iced Matcha Latte,beverage_iced,16oz,1.49,6.45,3.12,1.63,52.2,47.8,51.6,6941,1.24,21666,11313.83,Plow Horse,7
PR000030,Iced Matcha Coconut Latte,beverage_iced,16oz,2.11,6.45,3.17,1.06,33.4,66.6,50.9,6756,1.21,21431,7161.36,Plow Horse,5
PR000108,Iced Pistachio Matcha Coconut Latte,beverage_iced,16oz,1.85,6.76,3.42,1.57,45.9,54.1,49.4,6350,1.13,21717,9969.5,Dog,6
PR000086,Iced Spanish Latte,beverage_iced,16oz,0.93,6.76,3.42,2.49,72.8,27.2,49.4,6238,1.11,21326,15532.62,Puzzle,6
PR000088,Iced Creme Brulee Latte,beverage_iced,16oz,1.89,6.96,3.48,1.59,45.7,54.3,50.0,5987,1.07,20838,9519.33,Dog,7
PR000081,Caramel Popcorn Latte (Hot),beverage_hot,16oz,1.52,6.79,3.68,2.16,58.7,41.3,45.8,5641,1.01,20759,12184.56,Puzzle,6
PR000089,Creme Brulee Latte (Hot),beverage_hot,16oz,1.54,6.96,3.41,1.87,54.8,45.2,51.0,5502,0.98,18771,10288.74,Puzzle,7
PR000032,Blood Orange Cold Brew,beverage_iced,16oz,2.8,6.25,3.08,0.28,9.1,90.9,50.7,5436,0.97,16737,1522.08,Dog,5
