spu_code,product_name,ingredient_code,ingredient_name,quantity,unit,unit_price,line_cost
PR000021,Iced Coconut Latte,GS07465,Medium Roast Espresso,14,g,0.02,0.28
PR000021,Iced Coconut Latte,GS07506,Barista Coconut Milk,210,ml,0.004,0.84
PR000021,Iced Coconut Latte,GS07437,Straw,1,pc,0.02,0.02
PR000021,Iced Coconut Latte,GS07444,16oz Iced Cup Dome Lid,1,pc,0.05,0.05
PR000021,Iced Coconut Latte,GS07451,16oz Iced Cup,1,pc,0.08,0.08
PR000005,Drip Coffee,GS07470,Drip Coffee Blend,20,g,0.016,0.32
PR000005,Drip Coffee,GS07441,16oz Hot Cup,1,pc,0.08,0.08
PR000005,Drip Coffee,GS07443,16oz Hot Cup Lid,1,pc,0.04,0.04
PR000071,Iced Kyoto Matcha Latte,PFM000020,Kyoto Matcha Pre-mix,120,g,0.012,1.44
PR000071,Iced Kyoto Matcha Latte,GS07494,DVG Cane Sugar Syrup,30,ml,0.011,0.33
PR000071,Iced Kyoto Matcha Latte,GS07437,Straw,1,pc,0.02,0.02
PR000071,Iced Kyoto Matcha Latte,GS07444,16oz Iced Cup Dome Lid,1,pc,0.05,0.05
PR000071,Iced Kyoto Matcha Latte,GS07451,16oz Iced Cup,1,pc,0.08,0.08
PR000016,Latte (Hot),GS07465,Medium Roast Espresso,14,g,0.02,0.28
PR000016,Latte (Hot),GS07571,Tuscan 2% Reduced Fat Milk,350,ml,0.0012,0.42
PR000016,Latte (Hot),GS07441,16oz Hot Cup,1,pc,0.08,0.08
PR000016,Latte (Hot),GS07443,16oz Hot Cup Lid,1,pc,0.04,0.04
PR000023,Iced Velvet Latte,GS07465,Medium Roast Espresso,21,g,0.02,0.42
PR000023,Iced Velvet Latte,PFM000005,Velvet/Thick Milk Base,96,g,0.006,0.576
PR000023,Iced Velvet Latte,GS07566,Tuscan Whole Milk,122,ml,0.0012,0.1464
PR000023,Iced Velvet Latte,GS07437,Straw,1,pc,0.02,0.02
PR000023,Iced Velvet Latte,GS07444,16oz Iced Cup Dome Lid,1,pc,0.05,0.05
PR000023,Iced Velvet Latte,GS07451,16oz Iced Cup,1,pc,0.08,0.08
PR000015,Iced Latte,GS07465,Medium Roast Espresso,14,g,0.02,0.28
PR000015,Iced Latte,GS07571,Tuscan 2% Reduced Fat Milk,210,ml,0.0012,0.252
