spu_code,month,qty,revenue
PR000001,2025-03,11,187.0
PR000001,2025-04,9,142.24
PR000001,2025-05,17,335.34
PR000002,2025-03,20,392.0
PR000002,2025-04,10,137.4
PR000002,2025-05,18,174.66
PR000003,2025-03,6,100.0
PR000003,2025-04,8,71.0
PR000003,2025-05,5,45.0
PR000004,2025-03,7,165.0
PR000004,2025-04,5,154.36
PR000004,2025-05,15,199.1
PR000005,2025-05,37,23.87
PR000005,2025-06,25600,64334.98
PR000005,2025-07,495,1192.84
PR000005,2025-08,625,1509.9
PR000005,2025-09,1436,3563.72
PR000005,2025-10,2162,5236.78
PR000005,2025-11,1774,4356.45
PR000005,2025-12,2429,5882.44
PR000005,2026-01,4175,9651.53
PR000005,2026-02,2114,4693.66
PR000006,2025-05,72,36.79
PR000006,2025-06,72,117.76
PR000006,2025-07,943,2638.93
PR000006,2025-08,925,2691.85
PR000006,2025-09,1665,4891.42
PR000006,2025-10,1686,4949.44
PR000006,2025-11,1229,3661.97
PR000006,2025-12,1319,3956.61
PR000006,2026-01,1387,4148.21
PR000006,2026-02,936,2737.45
PR000014,2025-05,21,33.91
PR000014,2025-06,36,52.55
PR000014,2025-07,287,812.66
PR000014,2025-08,290,835.11
PR000014,2025-09,714,2310.94
PR000014,2025-10,1253,3649.21
PR000014,2025-11,1693,4745.8
PR000014,2025-12,2680,7637.45
PR000014,2026-01,2342,7366.12
PR000014,2026-02,1544,4468.5
PR000015,2025-05,23,33.08
PR000015,2025-06,95,147.61
PR000015,2025-07,2116,6624.68
PR000015,2025-08,3294,10525.09
PR000015,2025-09,4457,14799.36
PR000015,2025-10,3519,12092.48
PR000015,2025-11,2418,8394.74
PR000015,2025-12,2603,9995.43
PR000015,2026-01,3092,11494.82
PR000015,2026-02,1930,6762.31
PR000016,2025-05,13,32.19
PR000016,2025-06,51,41.37
PR000016,2025-07,441,1377.84
PR000016,2025-08,1154,3609.43
PR000016,2025-09,2313,7326.43
PR000016,2025-10,3740,11965.84
PR000016,2025-11,4046,12851.58
PR000016,2025-12,6371,21250.59
PR000016,2026-01,6658,22218.88
PR000016,2026-02,3800,12553.62
