timestamp_unix,timestamp_iso,commands_per_second
1770719166,2026-02-10T08:06:06Z,7.69
1770719466,2026-02-10T08:11:06Z,11.24
1770719766,2026-02-10T08:16:06Z,10.27
1770720066,2026-02-10T08:21:06Z,7.29
1770720366,2026-02-10T08:26:06Z,6.17
1770720666,2026-02-10T08:31:06Z,4.62
1770720966,2026-02-10T08:36:06Z,9.22
1770721266,2026-02-10T08:41:06Z,2688.52
1770721566,2026-02-10T08:46:06Z,27.71
1770721866,2026-02-10T08:51:06Z,24.88
1770722166,2026-02-10T08:56:06Z,18.41
1770722466,2026-02-10T09:01:06Z,15.76
1770722766,2026-02-10T09:06:06Z,16.97
1770723066,2026-02-10T09:11:06Z,9.99
1770723366,2026-02-10T09:16:06Z,18.59
1770723666,2026-02-10T09:21:06Z,24.28
1770723966,2026-02-10T09:26:06Z,21.93
1770724266,2026-02-10T09:31:06Z,25.16
1770724566,2026-02-10T09:36:06Z,32.28
1770724866,2026-02-10T09:41:06Z,49.19
1770725166,2026-02-10T09:46:06Z,49.06
1770725466,2026-02-10T09:51:06Z,52.72
1770725766,2026-02-10T09:56:06Z,63.89
1770726066,2026-02-10T10:01:06Z,64.02
1770726366,2026-02-10T10:06:06Z,75.35
1770726666,2026-02-10T10:11:06Z,84.45
1770726966,2026-02-10T10:16:06Z,104.14
1770727266,2026-02-10T10:21:06Z,106.56
1770727566,2026-02-10T10:26:06Z,101.33
1770727866,2026-02-10T10:31:06Z,138.37
1770728166,2026-02-10T10:36:06Z,111.99
1770728466,2026-02-10T10:41:06Z,123.41
1770728766,2026-02-10T10:46:06Z,135.94
1770729066,2026-02-10T10:51:06Z,152.98
1770729366,2026-02-10T10:56:06Z,151.52
1770729666,2026-02-10T11:01:06Z,183.59
1770729966,2026-02-10T11:06:06Z,165.74
1770730266,2026-02-10T11:11:06Z,220.52
1770730566,2026-02-10T11:16:06Z,266.53
1770730866,2026-02-10T11:21:06Z,224.98
1770731166,2026-02-10T11:26:06Z,243.99
1770731466,2026-02-10T11:31:06Z,236.13
1770731766,2026-02-10T11:36:06Z,265.17
1770732066,2026-02-10T11:41:06Z,2034.42
1770732366,2026-02-10T11:46:06Z,7973.67
1770732666,2026-02-10T11:51:06Z,8199.59
1770732966,2026-02-10T11:56:06Z,347.38
1770733266,2026-02-10T12:01:06Z,1838.80
1770733566,2026-02-10T12:06:06Z,214.34
1770733866,2026-02-10T12:11:06Z,198.26
1770734166,2026-02-10T12:16:06Z,143.91
1770734466,2026-02-10T12:21:06Z,171.34
1770734766,2026-02-10T12:26:06Z,221.36
1770735066,2026-02-10T12:31:06Z,175.95
1770735366,2026-02-10T12:36:06Z,208.56
1770735666,2026-02-10T12:41:06Z,162.17
1770735966,2026-02-10T12:46:06Z,149.44
1770736266,2026-02-10T12:51:06Z,165.62
1770736566,2026-02-10T12:56:06Z,145.79
1770736866,2026-02-10T13:01:06Z,161.16
1770737166,2026-02-10T13:06:06Z,146.62
1770737466,2026-02-10T13:11:06Z,155.36
1770737766,2026-02-10T13:16:06Z,144.30
1770738066,2026-02-10T13:21:06Z,164.04
1770738366,2026-02-10T13:26:06Z,143.12
1770738666,2026-02-10T13:31:06Z,169.20
1770738966,2026-02-10T13:36:06Z,145.71
1770739266,2026-02-10T13:41:06Z,116.32
1770739566,2026-02-10T13:46:06Z,158.58
1770739866,2026-02-10T13:51:06Z,140.84
1770740166,2026-02-10T13:56:06Z,108.42
1770740466,2026-02-10T14:01:06Z,142.67
1770740766,2026-02-10T14:06:06Z,163.56
