store_name,date,day_of_week,cup_count
100 Maiden Ln,2025-09-09,Tuesday,367.0
100 Maiden Ln,2025-09-10,Wednesday,327.0
100 Maiden Ln,2025-09-11,Thursday,284.0
100 Maiden Ln,2025-09-12,Friday,256.0
100 Maiden Ln,2025-09-13,Saturday,214.0
100 Maiden Ln,2025-09-14,Sunday,180.0
100 Maiden Ln,2025-09-15,Monday,297.0
100 Maiden Ln,2025-09-16,Tuesday,333.0
100 Maiden Ln,2025-09-17,Wednesday,339.0
100 Maiden Ln,2025-09-18,Thursday,393.0
100 Maiden Ln,2025-09-19,Friday,334.0
100 Maiden Ln,2025-09-20,Saturday,255.0
100 Maiden Ln,2025-09-21,Sunday,239.0
100 Maiden Ln,2025-09-22,Monday,314.0
100 Maiden Ln,2025-09-23,Tuesday,374.0
100 Maiden Ln,2025-09-24,Wednesday,412.0
100 Maiden Ln,2025-09-25,Thursday,311.0
100 Maiden Ln,2025-09-26,Friday,355.0
100 Maiden Ln,2025-09-27,Saturday,275.0
100 Maiden Ln,2025-09-28,Sunday,235.0
100 Maiden Ln,2025-09-29,Monday,316.0
100 Maiden Ln,2025-09-30,Tuesday,361.0
100 Maiden Ln,2025-10-01,Wednesday,388.0
100 Maiden Ln,2025-10-02,Thursday,406.0
100 Maiden Ln,2025-10-03,Friday,363.0
100 Maiden Ln,2025-10-04,Saturday,242.0
100 Maiden Ln,2025-10-05,Sunday,255.0
100 Maiden Ln,2025-10-06,Monday,342.0
100 Maiden Ln,2025-10-07,Tuesday,357.0
100 Maiden Ln,2025-10-08,Wednesday,325.0
100 Maiden Ln,2025-10-09,Thursday,322.0
100 Maiden Ln,2025-10-10,Friday,268.0
100 Maiden Ln,2025-10-11,Saturday,245.0
100 Maiden Ln,2025-10-12,Sunday,187.0
100 Maiden Ln,2025-10-13,Monday,196.0
100 Maiden Ln,2025-10-14,Tuesday,294.0
100 Maiden Ln,2025-10-15,Wednesday,353.0
100 Maiden Ln,2025-10-16,Thursday,324.0
100 Maiden Ln,2025-10-17,Friday,291.0
100 Maiden Ln,2025-10-18,Saturday,223.0
100 Maiden Ln,2025-10-19,Sunday,199.0
100 Maiden Ln,2025-10-20,Monday,290.0
100 Maiden Ln,2025-10-21,Tuesday,309.0
100 Maiden Ln,2025-10-22,Wednesday,315.0
100 Maiden Ln,2025-10-23,Thursday,294.0
100 Maiden Ln,2025-10-24,Friday,318.0
100 Maiden Ln,2025-10-25,Saturday,188.0
100 Maiden Ln,2025-10-26,Sunday,192.0
100 Maiden Ln,2025-10-27,Monday,263.0
100 Maiden Ln,2025-10-28,Tuesday,285.0
100 Maiden Ln,2025-10-29,Wednesday,329.0
100 Maiden Ln,2025-10-30,Thursday,234.0
100 Maiden Ln,2025-10-31,Friday,280.0
100 Maiden Ln,2025-11-01,Saturday,199.0
100 Maiden Ln,2025-11-02,Sunday,210.0
100 Maiden Ln,2025-11-03,Monday,303.0
100 Maiden Ln,2025-11-04,Tuesday,362.0
100 Maiden Ln,2025-11-05,Wednesday,375.0
100 Maiden Ln,2025-11-06,Thursday,282.0
100 Maiden Ln,2025-11-07,Friday,279.0
100 Maiden Ln,2025-11-08,Saturday,194.0
100 Maiden Ln,2025-11-09,Sunday,155.0
100 Maiden Ln,2025-11-10,Monday,243.0
100 Maiden Ln,2025-11-11,Tuesday,206.0
100 Maiden Ln,2025-11-12,Wednesday,319.0
100 Maiden Ln,2025-11-13,Thursday,302.0
100 Maiden Ln,2025-11-14,Friday,249.0
